year,sp500,bonds,inflation
1928,0.438111552,0.008354709,-0.0115218
1929,-0.082979466,0.042038042,0
1930,-0.251236364,0.045409314,-0.026712
1931,-0.438375489,-0.02558856,-0.0893214
1932,-0.086423645,0.08790307,-0.1030137
1933,0.499822254,0.018552721,-0.0519243
1934,-0.011885657,0.079634426,0.0347938
1935,0.467404211,0.044720477,0.0255293
1936,0.319434103,0.050178754,0.0103218
1937,-0.353367288,0.013791461,0.0372596
1938,0.29282654,0.042132485,-0.0202781
1939,-0.010975647,0.044122614,-0.0130101
1940,-0.106728732,0.054024816,0.0071899
1941,-0.127714556,-0.020221976,0.05116
1942,0.191737629,0.022948682,0.1092247
1943,0.250613101,0.0249,0.0596939
1944,0.190306769,0.025776112,0.0163698
1945,0.358210843,0.038044173,0.022738
1946,-0.084291475,0.031283745,0.0847615
1947,0.052,0.009196968,0.1438941
1948,0.057045752,0.019510369,0.0768944
1949,0.183032237,0.046634852,-0.0097054
1950,0.30805539,0.004295957,0.0108505
1951,0.23678463,-0.002953139,0.0786011
1952,0.181509886,0.022679962,0.0227929
1953,-0.012082047,0.041438403,0.0081607
1954,0.525633212,0.032898035,0.0031133
1955,0.325973319,-0.013364391,-0.0027933
1956,0.074395119,-0.022557738,0.0152505
1957,-0.104573602,0.067970128,0.0334151
1958,0.43719955,-0.020990182,0.0272916
1959,0.120564572,-0.026466313,0.0101068
1960,0.003365353,0.116395037,0.0145798
1961,0.26637713,0.020609208,0.0107072
1962,-0.088114605,0.056935441,0.0119877
1963,0.226119271,0.016841621,0.0123967
1964,0.164154559,0.037280649,0.0127891
1965,0.123992425,0.007188551,0.0158517
1966,-0.099709542,0.029079409,0.0301508
1967,0.238029665,-0.01580621,0.0277279
1968,0.108148627,0.032746197,0.042718
1969,-0.082413711,-0.050140493,0.0546239
1970,0.035611449,0.167547372,0.0583826
1971,0.142211503,0.097868966,0.0429277
1972,0.187553629,0.028184491,0.0327228
1973,-0.143080474,0.036586646,0.0617776
1974,-0.259017858,0.019886087,0.110548
1975,0.369951371,0.036052536,0.0914315
1976,0.23830999,0.159845607,0.0574481
1977,-0.069797041,0.012899606,0.0650168
1978,0.065092839,-0.007775807,0.0763096
1979,0.185194902,0.006707203,0.1125447
1980,0.317352455,-0.029897443,0.135492
1981,-0.047023902,0.081992153,0.1033472
1982,0.204190551,0.328145495,0.0613143
1983,0.223371559,0.032002094,0.0321244
1984,0.06146142,0.137333643,0.0430054
1985,0.312351495,0.257124882,0.0354564
1986,0.184945788,0.242842151,0.0189805
1987,0.058127216,-0.049605089,0.0366456
1988,0.165371928,0.082235958,0.0407774
1989,0.314751836,0.176936472,0.04827
1990,-0.030644516,0.062353753,0.0539796
1991,0.302348431,0.1500451,0.0423496
1992,0.07493728,0.093616373,0.0302882
1993,0.099670515,0.142109576,0.0295166
1994,0.013259207,-0.080366556,0.0260744
1995,0.371951989,0.234807801,0.0280542
1996,0.22680966,0.014286078,0.029312
1997,0.331036531,0.099391303,0.0233769
1998,0.283379533,0.149214319,0.0155228
1999,0.20885351,-0.082542148,0.0218803
2000,-0.09031819,0.166552671,0.0337686
2001,-0.118497591,0.055721812,0.0282617
2002,-0.21966048,0.151164004,0.0158603
2003,0.283558001,0.003753186,0.0227009
2004,0.107427759,0.044906837,0.0267724
2005,0.048344775,0.02867533,0.0339275
2006,0.15612558,0.019610012,0.0322594
2007,0.054847352,0.102099219,0.0285267
2008,-0.365523441,0.201012799,0.038391
2009,0.259352339,-0.111166953,-0.0035555
2010,0.148210923,0.084629339,0.0164004
2011,0.020983747,0.16035335,0.0315684
2012,0.158905852,0.02971572,0.0206934
2013,0.321450859,-0.091045688,0.0146483
2014,0.135244216,0.107461805,0.0162222
2015,0.013788916,0.012842997,0.0011863
2016,0.117730809,0.006905505,0.0126158
2017,0.216054814,0.028017163,0.0213011
2018,-0.042268693,-0.000166924,0.0244258
2019,0.3121168,0.096356307,0.0229
2020,0.180139161,0.113318976,0.012
